00:36:29 | _lookahead_search | Evaluating move: h1g1 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1P6/P1PPPPPP/RNBQKBR1 b Qq - 1 5
00:36:29 | _lookahead_search | Evaluating move: c1a3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/BP6/P1PPPPPP/RN1QKB1R b KQq - 1 5
00:36:29 | _lookahead_search | Evaluating move: c1b2 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1P6/PBPPPPPP/RN1QKB1R b KQq - 1 5
00:36:29 | _lookahead_search | Evaluating move: b1c3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1PN5/P1PPPPPP/R1BQKB1R b KQq - 1 5
00:36:29 | _lookahead_search | Evaluating move: b1a3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/NP6/P1PPPPPP/R1BQKB1R b KQq - 1 5
00:36:29 | _lookahead_search | Evaluating move: b3b4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/1P6/8/P1PPPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: h2h3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1P5P/P1PPPPP1/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: g2g3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1P4P1/P1PPPP1P/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: f2f3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1P3P2/P1PPP1PP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: e2e3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1P2P3/P1PP1PPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: d2d3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1P1P4/P1P1PPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: c2c3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/1PP5/P2PPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: a2a3 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/8/PP6/2PPPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: h2h4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/7P/1P6/P1PPPPP1/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: g2g4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/6P1/1P6/P1PPPP1P/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: f2f4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/5P2/1P6/P1PPP1PP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: e2e4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1pppN/7n/3p4/4P3/1P6/P1PP1PPP/RNBQKB1R b KQq - 0 5
