14:56:46 | _simple_eval_move | Considering move: b1a3 | Resulting eval: 4.000 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/N4N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2
14:56:46 | _simple_eval_move | Considering move: h2h3 | Resulting eval: 3.100 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/5N1P/PPPPPPP1/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: g2g3 | Resulting eval: 3.400 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: e2e3 | Resulting eval: 2.850 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: d2d3 | Resulting eval: 2.850 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: c2c3 | Resulting eval: 3.200 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/2P2N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: b2b3 | Resulting eval: 3.400 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: a2a3 | Resulting eval: 3.100 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/P4N2/1PPPPPPP/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: h2h4 | Resulting eval: 3.150 | FEN: rnbqkbnr/ppppp1pp/8/5p2/7P/5N2/PPPPPPP1/RNBQKB1R b KQkq - 0 2
14:56:46 | _simple_eval_move | Considering move: g2g4 | Resulting eval: 3.350 | FEN: rnbqkbnr/ppppp1pp/8/5p2/6P1/5N2/PPPPPP1P/RNBQKB1R b KQkq - 0 2
